Pesoh,Cinturah,,,,
58.75,77.85,,,,
33.875,64.15,,,,
44.875,78.2,,,,
35.2,61.35,,,,
61.15,99.25,,,,
53.35,74.1,,,,
29.6,64.1,,,,
65.45,74.05,,,,
62.15,97,,,,
57.95,84,,,,
67.725,80.9,,,,
37.075,61.3,,,,
32.6,62.15,,,,
39.45,75.5,,,,
32.6,61,,,,
64.75,76.1,,,,
32.15,60.05,,,,
25.65,59.65,,,,
60.4,76.85,,,,
58.05,82.2,,,,
32.5,61.3,,,,
23.65,56,,,,
27.35,59.45,,,,
46.675,76.4,,,,
26.3,56.5,,,,
28.275,60.25,,,,
62.95,87.95,,,,
46.925,75.9,,,,
36.7,70.5,,,,
39.45,64.3,,,,
40.9,59.7,,,,
48.8,64.5,,,,
31.775,60.5,,,,
46.175,69.1,,,,
34.45,68.1,,,,
59.3,86.05,,,,
30.95,58.4,,,,
28.75,57.1,,,,
33.075,58.5,,,,
64.3,80.5,,,,
46.1,71.5,,,,
56.35,70.1,,,,
59.5,74.9,,,,
35.35,66.1,,,,
37.45,64.45,,,,
58.35,70.65,,,,
49.2,70.75,,,,
48.875,75.1,,,,
81.75,94.6,,,,
31.75,61.5,,,,
28.95,54,,,,
82.9,103.6,,,,
60.95,88,,,,
29,53.9,,,,
50.85,87,,,,
24.775,57.65,,,,
27.5,56.15,,,,
50.95,66.3,,,,
33.425,67.1,,,,
56.35,69.2,,,,
37.4,67.9,,,,
63.8,82.5,,,,
44.225,64.7,,,,
85.1,85.05,,,,
27.025,55.95,,,,
89.4,99.25,,,,
51.7,66.8,,,,
60.3,73.6,,,,
48.15,76,,,,
37.6,59.8,,,,
54.3,76.55,,,,
26.5,56.85,,,,
30.725,61.25,,,,
37.15,66,,,,
47.35,79.6,,,,
29.75,58.5,,,,
31.1,59,,,,
27.05,86.5,,,,
38.075,66.4,,,,
52.1,69,,,,
29.375,55.5,,,,
40.125,59.6,,,,
27.775,59.2,,,,
34.3,63,,,,
52,77.1,,,,
30.95,59.3,,,,
29.5,59.8,,,,
43.7,67.5,,,,
48.35,70.5,,,,
50.8,67.7,,,,
44.5,74.8,,,,
81.7,92,,,,
55,80,,,,
74.55,86,,,,
30.6,64.2,,,,
27.25,55.5,,,,
26.85,57,,,,
57.35,67.5,,,,
30.4,62.6,,,,
62.2,82.2,,,,
35.95,60.4,,,,
33.125,67,,,,
36.45,59,,,,
41.4,80.55,,,,
35.2,63.1,,,,
37.25,74.55,,,,
26.4,57.55,,,,
54.85,76.15,,,,
44.475,67.3,,,,
49.25,74.8,,,,
51.2,74.7,,,,
34.7,65,,,,
60.2,74.1,,,,
39.1,73.95,,,,
56.2,89.15,,,,
57.8,76.2,,,,
55,81.6,,,,
50.4,74.25,,,,
40.6,75.65,,,,
29.175,57.5,,,,
32.8,54.1,,,,
63.65,79.8,,,,
40.6,68.5,,,,
27.975,57.6,,,,
33.425,63.5,,,,
50.3,67.5,,,,
29.3,54.8,,,,
48.95,74,,,,
36.9,64,,,,
41.375,58.1,,,,
32.95,60.6,,,,
50.15,65.2,,,,
52.3,82.7,,,,
38.4,71.35,,,,
30.45,55.3,,,,
70.2,81.6,,,,
55.15,72.3,,,,
55.1,68.6,,,,
41.025,64.55,,,,
51.4,73.25,,,,
60.65,81.1,,,,
37.975,58.6,,,,
69,87.7,,,,
40,78.3,,,,
36.1,70.5,,,,
62.4,86.2,,,,
68.95,85.2,,,,
83.6,107,,,,
51.5,80.6,,,,
44.5,63.3,,,,
29.2,59.3,,,,
36.05,66.05,,,,
45.925,64.1,,,,
30.7,59.05,,,,
27.15,54.5,,,,
33.3,62.2,,,,
36.45,69.05,,,,
36.025,63.55,,,,
57.7,87,,,,
44.35,78.9,,,,
46.5,73.05,,,,
41.6,65,,,,
45.975,82,,,,
42.545,67,,,,
41.525,65.5,,,,
85.2,102,,,,
33.15,63.45,,,,
31.95,63,,,,
33.575,60.45,,,,
55.115,73.8,,,,
62.9,89.75,,,,
42.5,63.05,,,,
46.5,65.9,,,,
27.25,57.5,,,,
36.375,68.4,,,,
73.5,95.75,,,,
70.35,84.5,,,,
47.65,73,,,,
56.9,87.5,,,,
92.95,102.2,,,,
43.1,66,,,,
38.475,60.65,,,,
65.15,83.4,,,,
29.65,60.9,,,,
65.405,84.05,,,,
31.95,60.25,,,,
25.15,54.15,,,,
30.15,60,,,,
54.25,84,,,,
66.25,75.3,,,,
55.75,76.7,,,,
53.85,72.05,,,,
61,96.35,,,,
40.35,77.55,,,,
56.9,82.6,,,,
62.3,70.7,,,,
29,66.3,,,,
32.525,58.4,,,,
40.4,72.2,,,,
41.6,72.2,,,,
40.275,79,,,,
43.875,64,,,,
47.275,77.3,,,,
49.65,77.9,,,,
35.85,71,,,,
58.7,73.5,,,,
26.05,55.8,,,,
43.7,70.35,,,,
32.05,66.5,,,,
59.1,93,,,,
54.225,73.5,,,,
32.325,64.05,,,,
68.65,83.5,,,,
92.75,103.8,,,,
32.725,66,,,,
92.915,100,,,,
51.2,72.3,,,,
89,117.05,,,,
49.075,72.3,,,,
53,81.95,,,,
55,69.5,,,,
37.9,74.6,,,,
83.3,104,,,,
39.05,67.5,,,,
31.9,58.55,,,,
72.75,81.6,,,,
90.5,98.45,,,,
48.425,67.1,,,,
54.1,81.5,,,,
29.25,59.5,,,,
54.6,72,,,,
55.45,79.7,,,,
93.6,120.8,,,,
92.7,103.9,,,,
74.6,94.75,,,,
70.15,81,,,,
42.925,69.75,,,,
59.2,80.8,,,,
63.6,75.8,,,,
