peso,,,,
73.7,,,,
35.65,,,,
54.8,,,,
97.95,,,,
31.95,,,,
32.4,,,,
71.7,,,,
42.3,,,,
48.425,,,,
80.6,,,,
38,,,,
61.85,,,,
44.95,,,,
69.7,,,,
65.1,,,,
23.375,,,,
42.775,,,,
47.45,,,,
34,,,,
41.775,,,,
28.6,,,,
49.175,,,,
65.4,,,,
24.45,,,,
43,,,,
62.8,,,,
29.025,,,,
76.1,,,,
50.9,,,,
25.45,,,,
26.4,,,,
32.75,,,,
51.5,,,,
38.9,,,,
49.5,,,,
43.2,,,,
83.75,,,,
51,,,,
71.3,,,,
56.7,,,,
49.1,,,,
35.175,,,,
26.175,,,,
68.1,,,,
73.2,,,,
33.825,,,,
49.3,,,,
48.475,,,,
61.15,,,,
48.9,,,,
59,,,,
25.375,,,,
47.45,,,,
37.4,,,,
27.7,,,,
28.05,,,,
35.675,,,,
32.875,,,,
31.15,,,,
30.5,,,,
37.95,,,,
60.5,,,,
47.325,,,,
49.725,,,,
38.5,,,,
74.5,,,,
31.95,,,,
59.8,,,,
47,,,,
22.4,,,,
25.25,,,,
31.8,,,,
61.15,,,,
39.65,,,,
42.9,,,,
65.3,,,,
43.95,,,,
51,,,,
27.65,,,,
67.75,,,,
43.45,,,,
38.15,,,,
37.25,,,,
62.1,,,,
48.15,,,,
40.875,,,,
38.275,,,,
56.4,,,,
66.55,,,,
49.75,,,,
46.1,,,,
41.325,,,,
35.65,,,,
66.1,,,,
47.3,,,,
108.75,,,,
47.8,,,,
41.75,,,,
27.15,,,,
52.7,,,,
31.75,,,,
82.5,,,,
73.4,,,,
52.4,,,,
44.75,,,,
45.9,,,,
62.2,,,,
35.8,,,,
27.45,,,,
56.4,,,,
38.3,,,,
45.35,,,,
49.35,,,,
43.75,,,,
52,,,,
44.4,,,,
43.4,,,,
26.225,,,,
60.35,,,,
48.4,,,,
41.4,,,,
57.15,,,,
48.825,,,,
55.75,,,,
41.275,,,,
44.55,,,,
30.125,,,,
50.7,,,,
29.85,,,,
40.25,,,,
66.45,,,,
35.7,,,,
65.9,,,,
30.9,,,,
34.825,,,,
82.7,,,,
60.3,,,,
44.7,,,,
62.9,,,,
64.075,,,,
50.3,,,,
42.85,,,,
53.1,,,,
43.2,,,,
49.4,,,,
49.725,,,,
55.1,,,,
37.525,,,,
49.3,,,,
35,,,,
43.2,,,,
30.45,,,,
45.9,,,,
53.3,,,,
31.3,,,,
70.7,,,,
48.9,,,,
67.7,,,,
54.75,,,,
45.15,,,,
48.9,,,,
50.1,,,,
27.95,,,,
62.15,,,,
37.3,,,,
26.95,,,,
72.8,,,,
50.55,,,,
53.6,,,,
53.3,,,,
46.7,,,,
52.5,,,,
55,,,,
36.3,,,,
57.5,,,,
43.8,,,,
51.7,,,,
81.1,,,,
33.2,,,,
45.35,,,,
57.6,,,,
47.8,,,,
38.95,,,,
79.5,,,,
53.5,,,,
45.6,,,,
51.8,,,,
50.75,,,,
51.1,,,,
49.05,,,,
40.2,,,,
47.4,,,,
54.9,,,,
46.925,,,,
43.575,,,,
49.9,,,,
46.15,,,,
55.3,,,,
34.25,,,,
24,,,,
58.5,,,,
48.5,,,,
53.2,,,,
42.4,,,,
42.425,,,,
63.7,,,,
38.625,,,,
39.425,,,,
51.15,,,,
29.175,,,,
51.8,,,,
53.35,,,,
56.3,,,,
47.7,,,,
70.95,,,,
71.95,,,,
50.9,,,,
53.35,,,,
44.85,,,,
41.725,,,,
35.25,,,,
42.125,,,,
40.65,,,,
46.35,,,,
30.55,,,,
47.8,,,,
66.4,,,,
39.35,,,,
28.425,,,,
42,,,,
31.2,,,,
43,,,,
53.95,,,,
68.7,,,,
30,,,,
51.5,,,,
60.3,,,,
56.8,,,,
45.1,,,,
42.225,,,,
54.2,,,,
43.5,,,,
43.5,,,,
41.175,,,,
52.6,,,,
73.4,,,,
66.9,,,,
50.35,,,,
70.2,,,,
56,,,,
49.8,,,,
61.65,,,,
50.2,,,,
59.9,,,,
66.8,,,,
49.55,,,,
98.15,,,,
52.85,,,,
33.55,,,,
40.55,,,,
27.875,,,,
32.15,,,,
57.25,,,,
62.5,,,,
49.95,,,,
47.35,,,,
44,,,,
54.7,,,,
45.25,,,,
39.55,,,,
33.875,,,,
51,,,,
62.6,,,,
32.4,,,,
69.2,,,,
56.2,,,,
35.15,,,,
33.85,,,,
49.35,,,,
45.1,,,,
47.25,,,,
53.4,,,,
39.15,,,,
51.9,,,,
58.3,,,,
47.45,,,,
50.2,,,,
