Pesom,Cinturam,,,,
63.4,82.2,,,,
38.15,84.2,,,,
78.8,98.1,,,,
56.2,78.4,,,,
28.55,60.1,,,,
44.9,,,,,
50.7,78.2,,,,
23.925,57.2,,,,
88.7,110.95,,,,
39.5,65.2,,,,
54.5,83,,,,
65.9,93.9,,,,
46.7,75.9,,,,
75.3,80.2,,,,
30.45,65.05,,,,
80.3,106.35,,,,
38.85,64.5,,,,
67.4,81.55,,,,
49.95,76.6,,,,
41.725,66.25,,,,
56.7,81,,,,
59.05,92,,,,
48.375,76.1,,,,
66.95,90.2,,,,
53.3,75.5,,,,
39.45,66,,,,
50,69.5,,,,
56.4,,,,,
60.1,88.1,,,,
55.5,75.4,,,,
24.85,53.2,,,,
57.3,72.45,,,,
52.55,70.05,,,,
64.4,91.4,,,,
81.75,101.75,,,,
57.15,81.45,,,,
62.3,95.45,,,,
59,82.1,,,,
66.2,93.35,,,,
65.3,91.35,,,,
73.8,85.35,,,,
54.9,,,,,
64.2,86.05,,,,
59.5,88.1,,,,
53.6,76.1,,,,
42.5,73.05,,,,
71.5,85.8,,,,
62,86.6,,,,
70.2,93.65,,,,
45,70.1,,,,
48.075,70,,,,
65.6,83,,,,
47.6,88,,,,
34.45,64.75,,,,
50.7,74.05,,,,
72.45,87.8,,,,
69.9,91.4,,,,
46.65,69.2,,,,
65.5,89,,,,
59.6,89.5,,,,
51.3,62.15,,,,
73.2,102.05,,,,
49.75,66.1,,,,
34.65,57.2,,,,
44.65,75,,,,
54.55,74.45,,,,
60.1,77.5,,,,
94.5,103.5,,,,
71.55,,,,,
57.8,83.7,,,,
64.35,81,,,,
55.8,82,,,,
60.2,77,,,,
33.775,60.15,,,,
78.7,78,,,,
72.2,91.5,,,,
73.6,,,,,
70.5,87.3,,,,
38.375,84.95,,,,
62.7,85.9,,,,
70.4,85.5,,,,
47.775,,,,,
66.5,88,,,,
43.275,69.5,,,,
78.95,99.8,,,,
49.2,72,,,,
74.7,101,,,,
55.9,77,,,,
55.6,91,,,,
49.15,65.9,,,,
50.7,76.8,,,,
58.1,85.1,,,,
53.7,,,,,
47.825,70.1,,,,
61.7,89.2,,,,
40.3,64.9,,,,
47.775,76.5,,,,
79.95,94.8,,,,
33.85,62.9,,,,
72.7,100.05,,,,
54.4,80.25,,,,
52.05,73.6,,,,
66.6,89.9,,,,
83.2,98.15,,,,
48.275,76.7,,,,
48.65,70.35,,,,
57.3,76.45,,,,
29.65,59.15,,,,
62.5,,,,,
65.6,,,,,
41.1,72.25,,,,
37.8,57.9,,,,
66.7,87.1,,,,
49.075,71.65,,,,
67.3,,,,,
61.85,79.4,,,,
50.3,75.05,,,,
50.55,71,,,,
59,79,,,,
58.1,80,,,,
74.8,93,,,,
47.5,67.1,,,,
26.4,56,,,,
38.5,88.3,,,,
50.35,78.05,,,,
58.2,79,,,,
38.6,81,,,,
60.7,,,,,
57.1,83,,,,
52.2,77.1,,,,
44,75.5,,,,
52.4,75.5,,,,
60.9,73,,,,
67.35,,,,,
43.2,68,,,,
59.45,91.5,,,,
58.5,103.8,,,,
46.65,77,,,,
54,79,,,,
52.3,70.8,,,,
34.85,63.1,,,,
48.4,80.9,,,,
44.75,68.5,,,,
48.95,77.5,,,,
46,70,,,,
48,74.5,,,,
89.2,112,,,,
34.15,61.5,,,,
53.3,83.3,,,,
73.9,97,,,,
65,93.4,,,,
42.1,66,,,,
51.55,75.3,,,,
55.5,74.8,,,,
45.9,69.5,,,,
46.85,68.4,,,,
64.8,102,,,,
58.1,,,,,
72.7,96.5,,,,
44.65,69,,,,
56.475,92.3,,,,
45.4,74,,,,
34.9,62,,,,
57.9,81,,,,
57.4,78,,,,
54.5,83,,,,
52.1,73.7,,,,
48.15,72.5,,,,
40.6,64.3,,,,
52.6,79,,,,
52.3,83.2,,,,
71.2,,,,,
57.9,82,,,,
55.9,79.6,,,,
76.3,109.1,,,,
56.7,79.5,,,,
45.3,,,,,
69.1,,,,,
75.5,91.3,,,,
49.525,73.4,,,,
68.5,,,,,
91.7,102.3,,,,
59.65,92.8,,,,
55.9,74.5,,,,
49.8,85,,,,
57.4,83.6,,,,
42.45,69.4,,,,
45,80.2,,,,
43.7,68.3,,,,
56.1,87.2,,,,
65.8,94.9,,,,
91.925,91.6,,,,
59.05,74.25,,,,
54,72,,,,
67.2,81.8,,,,
62.8,83,,,,
69.5,,,,,
58.6,84.85,,,,
52.8,77.6,,,,
63.8,,,,,
63.9,85.5,,,,
57.2,80.55,,,,
70.1,87.5,,,,
51.3,76.15,,,,
57,75.1,,,,
63.5,88.3,,,,
52.45,73.55,,,,
59.5,95.1,,,,
49.15,79.3,,,,
72.9,85.15,,,,
60.65,89.5,,,,
53.8,68.75,,,,
38.04,63.25,,,,
41.95,64.3,,,,
45.175,65.8,,,,
60.2,85.4,,,,
45,80,,,,
73.4,98.55,,,,
51.325,73.6,,,,
65.55,85.25,,,,
41.15,67.9,,,,
71.8,97.5,,,,
51.2,78.8,,,,
61,80.5,,,,
43.35,63.2,,,,
43.775,77.45,,,,
63.75,85.65,,,,
55.75,72.1,,,,
69.3,82.5,,,,
69,63.2,,,,
77.3,102.65,,,,
58.5,71.7,,,,
52.3,75.3,,,,
66.1,94.85,,,,
85.15,115.8,,,,
36.6,59.15,,,,
39.075,64.6,,,,
57.1,86.25,,,,
56.5,78.25,,,,
63.4,87.3,,,,
29.35,57,,,,
57.6,77.2,,,,
31.55,59,,,,
75.8,93,,,,
58.2,73.7,,,,
48.625,81.45,,,,
51.55,68.1,,,,
59.7,86.6,,,,
59.3,78.3,,,,
58.15,77,,,,
56.1,79.4,,,,
48.7,71,,,,
50.05,68.2,,,,
51.2,,,,,
80.75,107.7,,,,
45.225,74.8,,,,
61.1,72,,,,
58.3,77.7,,,,
47.85,68,,,,
51.5,71.8,,,,
45.225,68.4,,,,
76.2,94,,,,
73.5,,,,,
37.225,61.35,,,,
48.05,72.85,,,,
61.05,89.25,,,,
61.15,86,,,,
50.4,70.35,,,,
81.1,97.6,,,,
64,,,,,
40.775,55,,,,
52.1,,,,,
51.15,73.95,,,,
47.85,68,,,,
57.675,,,,,
82.6,84.6,,,,
43,69.6,,,,
55.3,79.4,,,,
60.55,72,,,,
44.15,,,,,
64.125,86.45,,,,
36.35,63.6,,,,
55.9,84.5,,,,
61.65,,,,,
48.75,71.9,,,,
34.7,64.5,,,,
54.8,,,,,
65.35,89.8,,,,
45.65,71.7,,,,
44.1,70.5,,,,
49.05,68.7,,,,
55.5,75.5,,,,
59.6,76,,,,
42.15,61,,,,
60.8,,,,,
39.775,74.3,,,,
72.5,86,,,,
55.4,77,,,,
54.65,83.9,,,,
53.5,,,,,
22.9,52.3,,,,
46.2,75.5,,,,
69.45,84.5,,,,
64.8,,,,,
40.35,,,,,
53.6,79.05,,,,
56.85,76.7,,,,
53.8,82.65,,,,
48.525,,,,,
65.6,99.05,,,,
29.575,61.5,,,,
65.2,86.5,,,,
61.6,79.45,,,,
59.75,,,,,
65.5,89.05,,,,
49.6,70.6,,,,
70.4,87.6,,,,
66.55,81.15,,,,
49.975,73.8,,,,
35.45,65.05,,,,
56.25,81,,,,
62.3,91.15,,,,
38.425,70.05,,,,
96.1,96.2,,,,
44.6,66.7,,,,
56.1,77.5,,,,
41.825,64,,,,
72.2,92.35,,,,
54.8,96.65,,,,
70.35,91,,,,
37.8,59.1,,,,
32.7,56.65,,,,
54,93.8,,,,
48.325,82.7,,,,
54.35,83,,,,
50.3,81.05,,,,
41.625,65.15,,,,
37.04,63.15,,,,
57.4,78.05,,,,
90,114.15,,,,
24.15,56,,,,
44.675,68.1,,,,
66.85,83.2,,,,
63.75,87.2,,,,
48.625,85,,,,
42.65,73.4,,,,
43.8,67.1,,,,
39.95,63.2,,,,
52.4,81.8,,,,
40.525,60.5,,,,
47.25,75.5,,,,
58.65,85.95,,,,
41,79,,,,
76.25,98,,,,
63.2,101.55,,,,
49.525,82,,,,
40.7,65.5,,,,
43.4,65,,,,
51.55,71.3,,,,
53.2,82.3,,,,
51.65,74.5,,,,
56.45,82.3,,,,
69.8,,,,,
27.6,54,,,,
46.125,72.1,,,,
68.15,86.5,,,,
39.85,62.5,,,,
67.8,80.3,,,,
41.875,70.3,,,,
76.25,,,,,
46.95,67.7,,,,
66.4,85.3,,,,
42.85,73.1,,,,
55.1,79,,,,
73.95,88.5,,,,
54.15,74.5,,,,
44.05,65.4,,,,
45.45,68.8,,,,
65.8,91.2,,,,
61.2,87.05,,,,
71.1,99.2,,,,
32.525,62.3,,,,
62.3,93.7,,,,
72.15,83.75,,,,
68.8,90,,,,
73.2,92.65,,,,
48.775,80,,,,
37.275,61.7,,,,
29.9,55,,,,
53.9,75,,,,
48.625,71.35,,,,
66.2,,,,,
36.35,63,,,,
53.3,75.7,,,,
68.65,102.25,,,,
76.2,98.6,,,,
54.9,78.4,,,,
47.5,,,,,
62.82,,,,,
43.4,96,,,,
59.2,72.5,,,,
42.625,66.5,,,,
38.8,58.9,,,,
39.5,64.75,,,,
70.3,,,,,
68.4,85.55,,,,
44.45,67.4,,,,
50.1,75.25,,,,
53.45,,,,,
57.85,87.5,,,,
61.9,82.4,,,,
55.7,82,,,,
41.75,,,,,
63.3,93.7,,,,
56.65,81.05,,,,
42.8,,,,,
70,101,,,,
24.1,94,,,,
25.5,53.9,,,,
57.7,75,,,,
35.5,58,,,,
56.1,77,,,,
49.71,85.6,,,,
41.55,70.15,,,,
46.15,68.15,,,,
28.2,56.4,,,,
75.8,98,,,,
35.65,67,,,,
63.1,89.1,,,,
93.7,99.3,,,,
58.6,87.2,,,,
62.8,81.7,,,,
70.8,85.15,,,,
65.35,79.6,,,,
56.85,84,,,,
60.75,84.35,,,,
69.2,104.7,,,,
86.95,100.3,,,,
64.6,84,,,,
54.6,,,,,
30.675,55.5,,,,
46.85,69.3,,,,
66.25,93.55,,,,
61.8,75.15,,,,
52.95,69.9,,,,
46.075,77.95,,,,
32.35,61.1,,,,
50.1,76.2,,,,
53,,,,,
30.025,57.15,,,,
64.2,95,,,,
60.8,88.7,,,,
57.45,89.6,,,,
68.1,83.2,,,,
42.95,66,,,,
64.8,95.8,,,,
96.5,97.45,,,,
54.4,81.4,,,,
60.85,88.35,,,,
50.4,69.6,,,,
41.825,65.3,,,,
50.675,79.15,,,,
56.3,,,,,
51.55,85.6,,,,
75.6,98.5,,,,
58.5,81.5,,,,
60.2,91.4,,,,
56.9,85.5,,,,
59.45,69,,,,
42.55,64,,,,
73,93,,,,
47.775,71.75,,,,
46.5,73.5,,,,
33.075,60.85,,,,
31.4,59.85,,,,
70.45,,,,,
54.3,69.2,,,,
65.1,78.6,,,,
59.7,90.45,,,,
59.2,92.5,,,,
84.9,101.65,,,,
62,83.95,,,,
43.85,66.7,,,,
44.8,69,,,,
44.725,72.5,,,,
70.35,92.45,,,,
61.95,85.65,,,,
71.8,87.1,,,,
42.925,65.15,,,,
52,71,,,,
61.5,77.25,,,,
39.225,67.15,,,,
49.35,78.1,,,,
74.9,93.1,,,,
126.6,122,,,,
63,76,,,,
48.75,70.8,,,,
72.3,88.25,,,,
49.6,69.3,,,,
55,73.6,,,,
57.15,87.3,,,,
44.6,67.95,,,,
50.6,73.1,,,,
40.5,222.21,,,,
62.7,95,,,,
48.2,72.25,,,,
75.4,,,,,
76.2,94.5,,,,
44.35,,,,,
31.55,58.35,,,,
48.5,77.1,,,,
52.75,72.15,,,,
35,59.55,,,,
33.45,59.05,,,,
58.15,75.6,,,,
44.575,,,,,
59.6,86.25,,,,
32.425,62.5,,,,
41.25,62.05,,,,
50.2,71.2,,,,
52.5,75,,,,
72,93.45,,,,
37.6,62.6,,,,
57.9,72.2,,,,
46.15,76.05,,,,
65.6,90.3,,,,
54.7,77.2,,,,
53.5,82.85,,,,
49.875,68.4,,,,
74,97.15,,,,
44.8,72,,,,
37.45,59.6,,,,
45.85,70.45,,,,
49.225,69.5,,,,
46.95,69.4,,,,
75,94,,,,
46.8,70.05,,,,
45.75,72.5,,,,
36.9,72.35,,,,
35.9,63,,,,
50.7,77.8,,,,
47.8,78.05,,,,
70.6,90.4,,,,
37.525,67,,,,
49.625,70.15,,,,
49,,,,,
44.9,,,,,
39.9,63.3,,,,
70.375,99.1,,,,
52.2,74.7,,,,
57.6,222.22,,,,
54.85,,,,,
40.95,65.8,,,,
51.05,,,,,
62.2,106.1,,,,
72.5,87.45,,,,
55.3,82.1,,,,
58.3,80.1,,,,
69.1,92.55,,,,
61.6,,,,,
44.2,,,,,
89.8,105.1,,,,
60.35,81.15,,,,
38.7,69.4,,,,
67.85,83.5,,,,
55.85,74.7,,,,
89.4,,,,,
49.6,71.55,,,,
73.55,96.5,,,,
58.9,86.9,,,,
29.45,56.25,,,,
41.9,65.45,,,,
29.75,59.05,,,,
69.5,86.05,,,,
42.25,79.9,,,,
59.7,75.6,,,,
52.4,76.5,,,,
43.8,70.5,,,,
38.85,69,,,,
42.9,66.05,,,,
49.025,68.7,,,,
64.2,,,,,
42.8,64,,,,
55.15,108.7,,,,
50.8,63.6,,,,
54.7,73.6,,,,
46.95,67.75,,,,
34.8,67.1,,,,
54,81.2,,,,
41.975,72.1,,,,
48.85,69.05,,,,
42.6,76.2,,,,
83.2,101,,,,
48.45,67.5,,,,
54.25,79.8,,,,
46.3,64,,,,
69.25,93.6,,,,
49.525,78.35,,,,
49.7,71.85,,,,
36.85,63,,,,
39.375,62.15,,,,
53.8,74.25,,,,
63.45,86,,,,
50.5,68.6,,,,
87.45,100.3,,,,
32.65,60,,,,
69.3,88.8,,,,
49.55,75.25,,,,
42.675,66.5,,,,
58.175,85.3,,,,
33.15,67.35,,,,
43.4,71,,,,
46.9,73.65,,,,
57.225,83.35,,,,
37.35,84,,,,
55.45,78.25,,,,
45.8,75.85,,,,
42.105,68.55,,,,
52.6,72.15,,,,
44.35,79.05,,,,
60.4,91.4,,,,
44.3,71.25,,,,
48.85,68.8,,,,
48.9,73.05,,,,
54.6,77.8,,,,
35.9,63.5,,,,
27.45,55.2,,,,
43.03,62,,,,
45.7,66,,,,
44.35,70.1,,,,
79,105.9,,,,
53.65,81.45,,,,
64.9,91.75,,,,
53.6,74,,,,
52.7,80.5,,,,
49.25,74.5,,,,
38.95,67.3,,,,
62.225,87.7,,,,
60.6,95.6,,,,
53.6,,,,,
72.1,89,,,,
58.2,81.65,,,,
84.1,102.7,,,,
31.65,54.05,,,,
72.05,94.2,,,,
51.4,63.5,,,,
51.7,82.9,,,,
38.85,69.2,,,,
47.375,67.2,,,,
73.55,97.5,,,,
41.15,99,,,,
74.9,91.6,,,,
31.85,66.4,,,,
63.6,84,,,,
81.8,97.8,,,,
38.1,61.7,,,,
52.2,75.5,,,,
53.2,76,,,,
38.35,62,,,,
57.1,84.05,,,,
100.5,117.6,,,,
62.95,89.1,,,,
28.25,56,,,,
73.05,99.5,,,,
61.35,84.2,,,,
60.85,98,,,,
70.5,100,,,,
40.725,63.05,,,,
39.45,62.5,,,,
63.5,107.2,,,,
45.85,66,,,,
60.35,76.8,,,,
48.075,68.6,,,,
72.7,94.7,,,,
49.95,71.8,,,,
63.95,78.3,,,,
42.2,64.7,,,,
61.75,89.5,,,,
66.3,82,,,,
59.7,97.85,,,,
36.6,59.85,,,,
56.1,78.1,,,,
68.775,88.15,,,,
57.3,75.8,,,,
68.6,88.1,,,,
64.7,84.8,,,,
67.6,76.4,,,,
63.85,86.05,,,,
44.075,68.6,,,,
58,83.5,,,,
33.875,64.8,,,,
46.55,64,,,,
50.7,70.5,,,,
116.8,125.7,,,,
51,76,,,,
50,72.1,,,,
18,68,,,,
36.95,65.3,,,,
45.375,71.2,,,,
80.9,92.3,,,,
62.85,89.15,,,,
62.55,89.7,,,,
72.75,96.55,,,,
75.7,91.85,,,,
57.4,,,,,
58.55,77.3,,,,
64.9,83.2,,,,
50.8,75.45,,,,
64.45,81.4,,,,
45.4,67.5,,,,
79.2,80,,,,
67.35,93.2,,,,
43.1,74.4,,,,
52.9,67.05,,,,
51.55,76.1,,,,
26.9,57,,,,
50.5,78.5,,,,
47.575,74.6,,,,
59.7,89.2,,,,
59.5,74.7,,,,
74.8,90,,,,
30.6,58.4,,,,
87.3,106.35,,,,
53.8,79.8,,,,
64.7,89.6,,,,
68.75,92.3,,,,
85.7,97,,,,
136.8,145.25,,,,
51.1,74.1,,,,
66.8,90.1,,,,
91.6,99.55,,,,
91.65,112.1,,,,
67.7,,,,,
58.7,81.95,,,,
46.65,,,,,
51.75,84.25,,,,
56.2,77.5,,,,
78.3,,,,,
57.75,83.7,,,,
33.5,54.05,,,,
47,69,,,,
55.7,86.5,,,,
70.6,84.2,,,,
47.65,72.9,,,,
61,87,,,,
67.6,100.35,,,,
57,77.3,,,,
39.775,71.5,,,,
58.5,81.2,,,,
79.4,92.7,,,,
51.95,78.95,,,,
37.75,64.4,,,,
48.25,70.5,,,,
58.35,83.7,,,,
49.5,67.95,,,,
93.3,104.85,,,,
53.9,82.55,,,,
48.45,75.75,,,,
81,,,,,
76.4,114.3,,,,
48.925,66.6,,,,
45.275,69.8,,,,
44,64.2,,,,
63.4,81,,,,
46.15,,,,,
56,76.35,,,,
76.4,97.1,,,,
69.9,91.55,,,,
49.45,78.5,,,,
65,,,,,
39.75,65.5,,,,
71.1,97,,,,
84.9,107,,,,
76.65,96.6,,,,
93.45,111.6,,,,
67.95,,,,,
39.5,64.85,,,,
51.2,70.35,,,,
58.445,75.6,,,,
56,,,,,
56.85,82.4,,,,
45.6,87.7,,,,
44.55,65.2,,,,
53.15,75.8,,,,
82.9,97.8,,,,
72.5,96.05,,,,
70.85,94.5,,,,
46,73.1,,,,
62.1,100.8,,,,
65.7,94.8,,,,
51.5,76.1,,,,
31.65,62.45,,,,
67.6,,,,,
50.3,72.6,,,,
51.8,77,,,,
36.625,59.6,,,,
45.125,73.05,,,,
51.75,94.4,,,,
44.05,75.15,,,,
28.275,57.35,,,,
63.5,81.6,,,,
88.35,103.1,,,,
34.8,58,,,,
55.55,84.5,,,,
35.55,65.1,,,,
47.925,72.25,,,,
93.7,110,,,,
73.8,98,,,,
68.1,,,,,
38.025,62.5,,,,
48.45,,,,,
56.95,80.2,,,,
60.3,75.25,,,,
65.9,75.8,,,,
52.3,80,,,,
47.1,77.35,,,,
65.5,89.85,,,,
62,86.1,,,,
88.55,105.1,,,,
95.9,108.2,,,,
80.5,101.4,,,,
47.675,72.6,,,,
59,94.8,,,,
41.075,62.5,,,,
79.65,95.25,,,,
65.8,89.5,,,,
63.5,92.1,,,,
55.2,78.7,,,,
37.025,58.4,,,,
49.5,77,,,,
50.6,67,,,,
60.05,82,,,,
65.25,79.7,,,,
65.9,90.25,,,,
54.2,78.3,,,,
63.4,88,,,,
48.55,72.5,,,,
57.2,80,,,,
48.075,68.8,,,,
47.75,70.6,,,,
68.85,96.25,,,,
47.575,74.9,,,,
39.775,67.15,,,,
29.025,62,,,,
61.5,70.4,,,,
44.8,70,,,,
65.15,92.3,,,,
63.7,,,,,
115.4,101.8,,,,
40.525,60.15,,,,
87.05,118.45,,,,
52.6,69.1,,,,
37.425,66.25,,,,
49.4,80,,,,
39.9,67.35,,,,
45.6,71.65,,,,
52.7,72,,,,
45.6,68.55,,,,
48.7,,,,,
44.575,66.35,,,,
56.9,84.8,,,,
51.4,73.3,,,,
56.1,75.6,,,,
54.5,76.5,,,,
55.3,74.5,,,,
60.35,84.6,,,,
42.05,64.5,,,,
55.65,79.8,,,,
29.725,60,,,,
41.975,67.5,,,,
35.925,60.6,,,,
57.2,84.15,,,,
88.85,94.5,,,,
41.9,64.4,,,,
42.4,68.5,,,,
49.725,,,,,
78.8,102.4,,,,
31.475,56,,,,
42.3,64.1,,,,
75.15,93.25,,,,
62.7,96,,,,
59.5,76,,,,
35.65,62.6,,,,
72.7,95.5,,,,
63.4,76.05,,,,
73.8,100.1,,,,
58.4,,,,,
37.525,64.4,,,,
67.6,,,,,
68.5,,,,,
34.525,57.3,,,,
52.45,,,,,
90.6,96.15,,,,
46.85,71.9,,,,
73.35,84.2,,,,
69.15,98.85,,,,
80,,,,,
79.75,95.5,,,,
44.65,72.1,,,,
55.05,89.4,,,,
64.55,93.35,,,,
49.55,71.05,,,,
64.8,85.65,,,,
50.8,74.6,,,,
44.85,81,,,,
80.75,91,,,,
40.85,61.35,,,,
72.7,97.2,,,,
46.75,72.75,,,,
48,79.9,,,,
51,73.4,,,,
48.9,79.15,,,,
47.725,86.7,,,,
37.95,66.5,,,,
34.45,62.55,,,,
46.425,,,,,
73.5,94.7,,,,
42.775,71.65,,,,
56.7,90,,,,
41.6,63.1,,,,
53.5,91.3,,,,
36.7,66.5,,,,
58.65,,,,,
66.1,93.6,,,,
57.3,80.5,,,,
52.75,75.8,,,,
23.85,59.9,,,,
30.35,60.15,,,,
79.5,95.6,,,,
53.75,82,,,,
71.6,84.65,,,,
52.3,81.55,,,,
61.3,89,,,,
68.1,,,,,
38.65,62,,,,
76.15,98.2,,,,
65.925,98.7,,,,
83.45,109.8,,,,
50.7,79,,,,
56.25,73.6,,,,
39.825,67.4,,,,
45.25,70.35,,,,
65.25,,,,,
71.6,92.15,,,,
65.9,91.4,,,,
57.4,85.6,,,,
56.4,84,,,,
60.5,84.3,,,,
36.2,60,,,,
68,92,,,,
111.55,126.3,,,,
116.5,118.6,,,,
51.85,83.2,,,,
54.5,80.1,,,,
58.3,79.1,,,,
62.15,88.5,,,,
72.5,92.7,,,,
56.3,,,,,
74.8,96.8,,,,
51.35,78.1,,,,
59.85,79,,,,
31.4,72,,,,
57.825,80,,,,
56.75,81,,,,
69.85,,,,,
52.8,71.9,,,,
49.65,,,,,
53,70,,,,
104.2,116,,,,
26.95,62.2,,,,
54.55,80.05,,,,
70.45,87.65,,,,
64.1,81,,,,
69.875,86.55,,,,
51.3,78.35,,,,
50.75,,,,,
25.4,55.15,,,,
27.3,61.8,,,,
49.85,73.45,,,,
73.3,,,,,
45.5,65.25,,,,
41.3,70.3,,,,
54.1,84.75,,,,
30.175,61.05,,,,
35.825,71,,,,
36.3,69.55,,,,
47.9,81,,,,
50.65,73.2,,,,
63.95,100.5,,,,
64.075,88.9,,,,
47.86,71.3,,,,
60.05,86.4,,,,
80.95,87.1,,,,
58.25,,,,,
85.7,124,,,,
73.1,,,,,
43.25,66.4,,,,
88.8,107.75,,,,
68.325,88.9,,,,
54.6,72.6,,,,
40.15,66.1,,,,
64.8,93.65,,,,
79.5,96,,,,
59.65,106.25,,,,
49.525,77.55,,,,
41,72.5,,,,
46.05,69.8,,,,
49.875,75.55,,,,
67.7,96.9,,,,
81.45,,,,,
63.7,82.3,,,,
57.7,81,,,,
74.1,100.9,,,,
61.2,92.9,,,,
64.4,101.2,,,,
47.3,,,,,
55.6,84.5,,,,
61.05,78,,,,
71.55,94.2,,,,
48.225,73.8,,,,
73.55,82.3,,,,
69.5,89.5,,,,
78.25,90.8,,,,
28.85,59,,,,
48.3,,,,,
78.6,101.4,,,,
53.1,81.1,,,,
58.4,,,,,
56.2,81.45,,,,
73.2,86.65,,,,
64.95,83.5,,,,
41.3,64.65,,,,
82.55,96,,,,
51.4,68.4,,,,
52.95,90.45,,,,
36.45,61.3,,,,
50.25,,,,,
53.4,80.5,,,,
37.5,63.65,,,,
64,,,,,
74.6,90,,,,
34.15,60.3,,,,
67.3,107.3,,,,
83.3,101,,,,
87.35,101.5,,,,
95.6,113.8,,,,
84.55,101,,,,
44.925,65.8,,,,
30.175,65,,,,
72.25,91,,,,
70.45,94.5,,,,
79.05,98.5,,,,
59.45,82,,,,
74.8,,,,,
46.8,66.4,,,,
67.2,83.2,,,,
63.2,78.65,,,,
77.55,100.55,,,,
52.7,73,,,,
55.15,79.2,,,,
77.3,102.75,,,,
76.15,108.25,,,,
66,89.35,,,,
42.25,63,,,,
44.15,73.2,,,,
46.45,68.1,,,,
47.475,,,,,
53.2,77,,,,
59.5,86.9,,,,
57.4,81.7,,,,
83.75,89.7,,,,
117.15,114.9,,,,
55,73.6,,,,
66.8,,,,,
50.8,75.4,,,,
56.6,71.1,,,,
64.5,92.9,,,,
48.95,70,,,,
58.4,109.6,,,,
61.75,90.5,,,,
59.7,98.2,,,,
69.8,85.3,,,,
40.9,69.8,,,,
83.05,108.5,,,,
66.9,85.3,,,,
45.2,88.6,,,,
50.1,82,,,,
61.1,79.6,,,,
44.5,65,,,,
60.55,78,,,,
67,92,,,,
24.7,58.25,,,,
54.8,74.5,,,,
55,76.95,,,,
48,69,,,,
32.95,58.7,,,,
45.125,71.6,,,,
62.4,83.85,,,,
61.75,94.55,,,,
50.15,78.25,,,,
59.35,79.3,,,,
61.45,99.35,,,,
67.1,86,,,,
43.225,67.1,,,,
35.325,68.3,,,,
49.6,68.45,,,,
86,103,,,,
43,63,,,,
62.925,81.55,,,,
60.9,78.55,,,,
63.85,81.25,,,,
67.3,94,,,,
45.95,65.35,,,,
85.3,102.65,,,,
69.4,85,,,,
51.6,76.1,,,,
54.925,92.05,,,,
70,90.6,,,,
79.4,101.7,,,,
47,76,,,,
46.4,91.1,,,,
58.2,86.75,,,,
48.825,75.65,,,,
60.9,84,,,,
55.1,77.5,,,,
78.9,101,,,,
68.5,85,,,,
52.8,87.2,,,,
50.7,75.8,,,,
63.6,94.5,,,,
79.1,99.5,,,,
54.1,81.5,,,,
51.6,85.1,,,,
65.55,87.5,,,,
51.4,75.9,,,,
76.1,91,,,,
74.6,99,,,,
67.45,82.15,,,,
63.4,81.1,,,,
82.05,,,,,
57.4,84,,,,
51.2,74.2,,,,
66.75,92.05,,,,
43.15,74.05,,,,
55.35,74.65,,,,
53.4,78.2,,,,
72.05,,,,,
54.65,81.55,,,,
60.8,88.65,,,,
58.2,,,,,
32.45,64,,,,
55.5,77.05,,,,
75.7,,,,,
82.2,89.05,,,,
48.95,,,,,
67.2,93.5,,,,
52.9,76,,,,
61.9,82,,,,
63.7,75.8,,,,
42.25,67.2,,,,
46.05,77.4,,,,
56.1,81.5,,,,
56.8,86.2,,,,
96.9,120.3,,,,
76.75,98.2,,,,
43.175,74.25,,,,
54.325,,,,,
50.7,76.5,,,,
29.475,58.1,,,,
62.7,,,,,
56.3,92.3,,,,
46.325,70,,,,
49.1,67,,,,
41.8,68.7,,,,
54.05,82.2,,,,
100.7,103.5,,,,
52.6,81.5,,,,
54.55,79.7,,,,
75,97,,,,
48.6,76.4,,,,
51.65,72.4,,,,
72.55,81,,,,
51.6,81.4,,,,
53.45,79.45,,,,
73.25,111.4,,,,
74.5,98.05,,,,
40.95,73.1,,,,
61.8,86.5,,,,
51.45,72.5,,,,
73.4,91.1,,,,
73.3,95.8,,,,
59.7,85.6,,,,
62.8,94.1,,,,
59.5,98,,,,
35.25,62.1,,,,
54.25,82,,,,
36.35,62.5,,,,
46.6,68.8,,,,
43.025,71.95,,,,
44.8,102.75,,,,
56.1,80.5,,,,
27.51,62.1,,,,
59.15,79.8,,,,
56.3,83.2,,,,
65.2,85.7,,,,
47.45,60.6,,,,
33.7,61.5,,,,
71.3,,,,,
75.7,96,,,,
84.85,,,,,
64.75,84,,,,
69.15,95.25,,,,
61.85,,,,,
75.675,101.15,,,,
46.725,71.2,,,,
73,,,,,
46.35,,,,,
71.35,83.45,,,,
47,73,,,,
76.25,102.5,,,,
42.125,67.4,,,,
81.15,,,,,
35.175,93.9,,,,
107.85,123.6,,,,
57.5,96.6,,,,
56.45,81.9,,,,
70.3,91.1,,,,
55.5,80.5,,,,
90.6,105.55,,,,
51.1,68.6,,,,
43,68.15,,,,
39.175,74.2,,,,
72.05,93.55,,,,
41.175,65.25,,,,
47.575,73.7,,,,
42.65,63.25,,,,
55.3,76.2,,,,
78.1,93,,,,
105,115.4,,,,
64.6,73,,,,
70,,,,,
73.5,98.05,,,,
