Pesom,Cinturam,,,,
58.3,88.35,,,,
47.45,67.25,,,,
50.2,65.15,,,,
37.775,60.1,,,,
50.3,78.15,,,,
43.3,65.5,,,,
57.15,79.45,,,,
91,117,,,,
58.6,73,,,,
62.4,83.2,,,,
52.95,83.15,,,,
31.75,64,,,,
59.85,72.1,,,,
81.15,99,,,,
50.925,73.2,,,,
36.15,65.7,,,,
66.6,82.4,,,,
43.925,66.5,,,,
39.1,62.15,,,,
34.4,61.7,,,,
91.05,103.35,,,,
58.3,81.45,,,,
53.1,76.3,,,,
43.55,70.6,,,,
51.5,77.9,,,,
80.85,101,,,,
30.9,64.7,,,,
45.9,82.6,,,,
68.1,97.8,,,,
54.5,75.35,,,,
34.45,59.5,,,,
46.95,117.15,,,,
56.8,,,,,
30.25,59.35,,,,
64.35,85,,,,
57.5,79.15,,,,
54.4,83.7,,,,
51.75,79.35,,,,
46.825,,,,,
46.4,78.75,,,,
49,78,,,,
64.4,80.4,,,,
50.4,73.2,,,,
41.1,68.3,,,,
39.8,61.05,,,,
58.25,83.2,,,,
33.4,57.85,,,,
75.325,101.15,,,,
48.225,68.65,,,,
51.85,83.45,,,,
49.55,,,,,
62.5,78,,,,
65.3,84.2,,,,
75.15,99.35,,,,
59.05,91.95,,,,
34.5,62.2,,,,
42.525,66.45,,,,
62.55,,,,,
32.05,60,,,,
41.75,64.55,,,,
36.3,78.5,,,,
71,92.1,,,,
36.15,62.5,,,,
71.3,91.5,,,,
56.5,84.6,,,,
34.05,68.15,,,,
44.45,67.5,,,,
53.3,76.5,,,,
57.45,73.85,,,,
55.4,77.75,,,,
34.45,67.6,,,,
59.25,81.5,,,,
44.45,76.2,,,,
36.65,62.6,,,,
49.325,74.5,,,,
35.45,63.35,,,,
27.95,60.75,,,,
31.625,62.9,,,,
28.5,56.9,,,,
52.7,66.5,,,,
44.55,66.8,,,,
24.2,56,,,,
64.45,,,,,
55.15,79.2,,,,
50.45,71.45,,,,
51.75,75.5,,,,
51.55,62.1,,,,
33.725,63.75,,,,
41.15,64.2,,,,
48.375,80.2,,,,
48.975,73.8,,,,
45.025,74.5,,,,
44.8,73.3,,,,
57.95,74.5,,,,
53.25,80.55,,,,
25.4,53.45,,,,
35.705,61.05,,,,
50.1,72.65,,,,
51.2,,,,,
51.05,76.3,,,,
44.25,72.5,,,,
62.55,,,,,
50.4,72.1,,,,
46.25,71.45,,,,
64.8,82.05,,,,
37.275,64.75,,,,
43.45,74.8,,,,
55.8,,,,,
45.8,64,,,,
20.55,60.25,,,,
40.6,61.2,,,,
44.25,69.35,,,,
42.85,65.3,,,,
55.8,65.3,,,,
58.9,87,,,,
89.2,103.8,,,,
57.9,82.6,,,,
34.45,60.65,,,,
